symbol,date,open,high,low,close,volume,daily_price_change,price_range,price_direction,year,month,daily_return_pct,volatility,trend
AAL,02-01-2014,25.07,25.82,25.06,25.36,8998943,0.29,0.76,Bullish,2014,Jan,1.156761069,0.76,Bullish
AAPL,02-01-2014,79.3828,79.5756,78.8601,79.0185,58791957,-0.3643,0.7155,Bearish,2014,Jan,-0.458915533,0.7155,Bearish
AAP,02-01-2014,110.36,111.88,109.29,109.74,542711,-0.62,2.59,Bearish,2014,Jan,-0.561797753,2.59,Bearish
ABBV,02-01-2014,52.12,52.33,51.52,51.98,4569061,-0.14,0.81,Bearish,2014,Jan,-0.268610898,0.81,Bearish
ABC,02-01-2014,70.11,70.23,69.48,69.89,1148391,-0.22,0.75,Bearish,2014,Jan,-0.313792612,0.75,Bearish
ABT,02-01-2014,38.09,38.4,38,38.23,4967472,0.14,0.4,Bullish,2014,Jan,0.367550538,0.4,Bullish
ACN,02-01-2014,81.5,81.92,81.09,81.13,2405384,-0.37,0.83,Bearish,2014,Jan,-0.45398773,0.83,Bearish
ADBE,02-01-2014,59.06,59.53,58.94,59.29,2746370,0.23,0.59,Bullish,2014,Jan,0.389434473,0.59,Bullish
ADI,02-01-2014,49.52,49.75,49.04,49.28,2799092,-0.24,0.71,Bearish,2014,Jan,-0.484652666,0.71,Bearish
ADM,02-01-2014,43.22,43.29,42.79,42.99,2753765,-0.23,0.5,Bearish,2014,Jan,-0.532161037,0.5,Bearish
ADP,02-01-2014,80.17,80.45,79.38,79.86,1965869,-0.31,1.07,Bearish,2014,Jan,-0.386678309,1.07,Bearish
ADSK,02-01-2014,49.33,49.74,48.88,49.25,2488043,-0.08,0.86,Bearish,2014,Jan,-0.16217312,0.86,Bearish
ADS,02-01-2014,262.44,262.68,258.78,262.34,547808,-0.1,3.9,Bearish,2014,Jan,-0.038103948,3.9,Bearish
AEE,02-01-2014,36.05,36.11,35.47,35.53,1394264,-0.52,0.64,Bearish,2014,Jan,-1.442441054,0.64,Bearish
AEP,02-01-2014,46.98,47.06,46.04,46.13,2752002,-0.85,1.02,Bearish,2014,Jan,-1.809280545,1.02,Bearish
AES,02-01-2014,14.51,14.56,14.19,14.27,3987216,-0.24,0.37,Bearish,2014,Jan,-1.654031702,0.37,Bearish
AET,02-01-2014,68.21,68.6,67.52,67.56,1650687,-0.65,1.08,Bearish,2014,Jan,-0.952939452,1.08,Bearish
AFL,02-01-2014,66.63,66.694,65.81,65.96,1914657,-0.67,0.884,Bearish,2014,Jan,-1.005553054,0.884,Bearish
AGN,02-01-2014,167.33,170.71,166.5937,168.05,1268722,0.72,4.1163,Bullish,2014,Jan,0.430287456,4.1163,Bullish
AIG,02-01-2014,50.81,51.3,50.47,50.71,9198092,-0.1,0.83,Bearish,2014,Jan,-0.196811651,0.83,Bearish
AIV,02-01-2014,25.9,26.14,25.66,25.91,844901,0.01,0.48,Bullish,2014,Jan,0.038610039,0.48,Bullish
AIZ,02-01-2014,66.04,66.19,65.15,65.32,375524,-0.72,1.04,Bearish,2014,Jan,-1.090248334,1.04,Bearish
AJG,02-01-2014,46.67,46.89,46.09,46.15,483694,-0.52,0.8,Bearish,2014,Jan,-1.114206128,0.8,Bearish
AKAM,02-01-2014,47.11,47.1799,46.42,46.53,935107,-0.58,0.7599,Bearish,2014,Jan,-1.231161112,0.7599,Bearish
ALB,02-01-2014,63.38,63.6,62.6,63.14,548782,-0.24,1,Bearish,2014,Jan,-0.37866835,1,Bearish
ALGN,02-01-2014,57.06,57.37,56.43,56.96,437600,-0.1,0.94,Bearish,2014,Jan,-0.175254118,0.94,Bearish
ALK,02-01-2014,36.665,36.965,36.275,36.59,900234,-0.075,0.69,Bearish,2014,Jan,-0.204554752,0.69,Bearish
ALLE,02-01-2014,44.08,44.18,43.27,43.65,992872,-0.43,0.91,Bearish,2014,Jan,-0.975499093,0.91,Bearish
ALL,02-01-2014,54.09,54.45,53.5,53.55,1909106,-0.54,0.95,Bearish,2014,Jan,-0.998336106,0.95,Bearish
ALXN,02-01-2014,132.46,133.82,130.54,133.44,760197,0.98,3.28,Bullish,2014,Jan,0.739845991,3.28,Bullish
AMAT,02-01-2014,17.69,17.69,17.37,17.55,7785873,-0.14,0.32,Bearish,2014,Jan,-0.791407575,0.32,Bearish
AMD,02-01-2014,3.85,3.98,3.84,3.95,20569754,0.1,0.14,Bullish,2014,Jan,2.597402597,0.14,Bullish
AME,02-01-2014,52.43,52.52,51.9,52.09,570244,-0.34,0.62,Bearish,2014,Jan,-0.648483693,0.62,Bearish
AMGN,02-01-2014,114.36,116.19,114.06,115.795,2529728,1.435,2.13,Bullish,2014,Jan,1.254809374,2.13,Bullish
AMG,02-01-2014,215.92,216.69,211.79,213.38,285563,-2.54,4.9,Bearish,2014,Jan,-1.176361615,4.9,Bearish
AMP,02-01-2014,114.58,114.81,113.42,113.88,783767,-0.7,1.39,Bearish,2014,Jan,-0.610926863,1.39,Bearish
AMT,02-01-2014,79.51,79.74,78.85,79.45,1701345,-0.06,0.89,Bearish,2014,Jan,-0.075462206,0.89,Bearish
AMZN,02-01-2014,398.8,399.36,394.02,397.97,2140246,-0.83,5.34,Bearish,2014,Jan,-0.208124373,5.34,Bearish
ANDV,02-01-2014,58.2,59.07,57.2601,57.96,2868883,-0.24,1.8099,Bearish,2014,Jan,-0.412371134,1.8099,Bearish
ANSS,02-01-2014,86.44,87.15,85.29,86.01,276882,-0.43,1.86,Bearish,2014,Jan,-0.497454882,1.86,Bearish
ANTM,02-01-2014,92,92.01,90.62,90.63,1432038,-1.37,1.39,Bearish,2014,Jan,-1.489130435,1.39,Bearish
AON,02-01-2014,83.36,83.7,82.26,82.36,1209157,-1,1.44,Bearish,2014,Jan,-1.199616123,1.44,Bearish
AOS,02-01-2014,26.965,26.99,26.535,26.66,1296914,-0.305,0.455,Bearish,2014,Jan,-1.131095865,0.455,Bearish
APA,02-01-2014,85.82,85.97,85.16,85.48,2565384,-0.34,0.81,Bearish,2014,Jan,-0.396178047,0.81,Bearish
APC,02-01-2014,79.03,79.03,78.01,78.56,3352844,-0.47,1.02,Bearish,2014,Jan,-0.594710869,1.02,Bearish
APD,02-01-2014,111.56,111.95,111.11,111.44,839074,-0.12,0.84,Bearish,2014,Jan,-0.107565436,0.84,Bearish
APH,02-01-2014,44.365,44.395,43.73,43.87,883640,-0.495,0.665,Bearish,2014,Jan,-1.115744393,0.665,Bearish
ARE,02-01-2014,63.34,64.11,62.93,63.73,402659,0.39,1.18,Bullish,2014,Jan,0.615724661,1.18,Bullish
ARNC,02-01-2014,31.59,31.74,30.93,31.59,7432953,0,0.81,Bearish,2014,Jan,0,0.81,Bearish
ATVI,02-01-2014,17.91,18.075,17.8,18.07,6620855,0.16,0.275,Bullish,2014,Jan,0.893355667,0.275,Bullish
AVB,02-01-2014,118.25,119.26,117.68,118.24,901928,-0.01,1.58,Bearish,2014,Jan,-0.00845666,1.58,Bearish
AVGO,02-01-2014,52.85,52.88,51.89,52.65,1453732,-0.2,0.99,Bearish,2014,Jan,-0.378429518,0.99,Bearish
AVY,02-01-2014,50.09,50.19,49.445,49.61,645964,-0.48,0.745,Bearish,2014,Jan,-0.958275105,0.745,Bearish
AWK,02-01-2014,42.01,42.0899,41.5,41.58,788839,-0.43,0.5899,Bearish,2014,Jan,-1.023565818,0.5899,Bearish
AXP,02-01-2014,90.9,91.08,89.38,89.45,5120019,-1.45,1.7,Bearish,2014,Jan,-1.595159516,1.7,Bearish
AYI,02-01-2014,109.22,109.26,106.84,107.65,254146,-1.57,2.42,Bearish,2014,Jan,-1.437465666,2.42,Bearish
AZO,02-01-2014,477.67,479.7,472.51,474.11,151840,-3.56,7.19,Bearish,2014,Jan,-0.745284401,7.19,Bearish
A,02-01-2014,57.1,57.1,56.15,56.21,1916160,-0.89,0.95,Bearish,2014,Jan,-1.558669002,0.95,Bearish
BAC,02-01-2014,15.69,16.16,15.68,16.1,149225696,0.41,0.48,Bullish,2014,Jan,2.613129382,0.48,Bullish
BAX,02-01-2014,69.54,69.68,69.04,69.19,2069974,-0.35,0.64,Bearish,2014,Jan,-0.503307449,0.64,Bearish
BA,02-01-2014,136.01,137.25,135.51,136.67,3368009,0.66,1.74,Bullish,2014,Jan,0.485258437,1.74,Bullish
BBT,02-01-2014,37.18,37.18,36.7,36.77,3185617,-0.41,0.48,Bearish,2014,Jan,-1.10274341,0.48,Bearish
BBY,02-01-2014,39.75,41,39.62,40.5,4019318,0.75,1.38,Bullish,2014,Jan,1.886792453,1.38,Bullish
BDX,02-01-2014,110.41,110.41,108.79,109.14,665048,-1.27,1.62,Bearish,2014,Jan,-1.150258129,1.62,Bearish
BEN,02-01-2014,57.36,57.56,56.405,56.72,1098073,-0.64,1.155,Bearish,2014,Jan,-1.115760112,1.155,Bearish
BF.B,02-01-2014,37.775,37.84,37.005,37.325,704366,-0.45,0.835,Bearish,2014,Jan,-1.191264064,0.835,Bearish
BIIB,02-01-2014,279.44,282.515,276.21,280.33,902226,0.89,6.305,Bullish,2014,Jan,0.318494131,6.305,Bullish
BK,02-01-2014,34.3,35.03,34.3,34.56,3469457,0.26,0.73,Bullish,2014,Jan,0.758017493,0.73,Bullish
BLK,02-01-2014,315.38,315.38,310.4699,312.8,396548,-2.58,4.9101,Bearish,2014,Jan,-0.818060752,4.9101,Bearish
BLL,02-01-2014,25.625,25.81,25.5625,25.705,1234874,0.08,0.2475,Bullish,2014,Jan,0.312195122,0.2475,Bullish
BMY,02-01-2014,52.52,53.16,52.14,52.27,5654293,-0.25,1.02,Bearish,2014,Jan,-0.476009139,1.02,Bearish
BRK.B,02-01-2014,118.34,118.5,117.36,117.5,3087000,-0.84,1.14,Bearish,2014,Jan,-0.709819165,1.14,Bearish
BSX,02-01-2014,12.02,12.02,11.85,11.91,7971602,-0.11,0.17,Bearish,2014,Jan,-0.915141431,0.17,Bearish
BWA,02-01-2014,55.89,55.96,54.59,54.94,1301497,-0.95,1.37,Bearish,2014,Jan,-1.6997674,1.37,Bearish
BXP,02-01-2014,100.22,101.36,99.55,100.39,894806,0.17,1.81,Bullish,2014,Jan,0.169626821,1.81,Bullish
CAG,02-01-2014,33.66,33.73,33.46,33.57,1904047,-0.09,0.27,Bearish,2014,Jan,-0.267379679,0.27,Bearish
CAH,02-01-2014,66.45,66.6475,65.91,66.13,1608509,-0.32,0.7375,Bearish,2014,Jan,-0.481565087,0.7375,Bearish
CAT,02-01-2014,90.41,90.45,89.33,89.87,4898714,-0.54,1.12,Bearish,2014,Jan,-0.597279062,1.12,Bearish
CA,02-01-2014,33.49,33.56,33.02,33.15,1948770,-0.34,0.54,Bearish,2014,Jan,-1.015228426,0.54,Bearish
CBG,02-01-2014,26.27,26.55,26.07,26.34,2607046,0.07,0.48,Bullish,2014,Jan,0.266463647,0.48,Bullish
CBOE,02-01-2014,51.89,51.9789,50.76,50.98,522121,-0.91,1.2189,Bearish,2014,Jan,-1.753709771,1.2189,Bearish
CBS,02-01-2014,63.25,63.73,62.41,63.25,6722968,0,1.32,Bearish,2014,Jan,0,1.32,Bearish
CB,02-01-2014,102.78,103.39,101.33,101.7,1112627,-1.08,2.06,Bearish,2014,Jan,-1.050788091,2.06,Bearish
CCI,02-01-2014,73.14,73.2,71.23,71.63,3659722,-1.51,1.97,Bearish,2014,Jan,-2.064533771,1.97,Bearish
CCL,02-01-2014,39.64,39.995,39.61,39.81,2953583,0.17,0.385,Bullish,2014,Jan,0.428859738,0.385,Bullish
CDNS,02-01-2014,14,14.08,13.92,14.01,3118223,0.01,0.16,Bullish,2014,Jan,0.071428571,0.16,Bullish
CELG,02-01-2014,84.505,86.17,84.085,85.97,4759036,1.465,2.085,Bullish,2014,Jan,1.733625229,2.085,Bullish
CERN,02-01-2014,55.48,55.6,54.82,55.07,1111541,-0.41,0.78,Bearish,2014,Jan,-0.739005047,0.78,Bearish
CF,02-01-2014,46.606,47.36,46.4588,46.738,3460110,0.132,0.9012,Bullish,2014,Jan,0.283225336,0.9012,Bullish
CHD,02-01-2014,33.13,33.155,32.61,32.75,1035860,-0.38,0.545,Bearish,2014,Jan,-1.14699668,0.545,Bearish
CHK,02-01-2014,27.07,27.22,26.45,26.62,7040026,-0.45,0.77,Bearish,2014,Jan,-1.662356853,0.77,Bearish
CHRW,02-01-2014,58.21,58.48,57.61,57.82,1503287,-0.39,0.87,Bearish,2014,Jan,-0.669987975,0.87,Bearish
